pix64,count,pix64_group
35003,55,350
27743,55,277
26338,54,263
45873,54,458
39561,54,395
32500,54,325
8537,54,85
47013,54,470
17752,54,177
45981,54,459
17819,54,178
46442,54,464
39428,54,394
43626,54,436
33999,54,339
35476,54,354
46571,53,465
5142,53,51
8724,53,87
18796,53,187
27728,53,277
26209,52,262
12425,52,124
16703,52,167
35691,52,356
43948,52,439
25972,52,259
16589,52,165
34088,52,340
31333,52,313
18757,52,187
25942,52,259
30039,52,300
34416,51,344
9052,51,90
36427,51,364
5305,51,53
4361,51,43
35387,51,353
45564,51,455
8193,51,81
26693,51,266
33878,51,338
31898,51,318
20507,51,205
43227,51,432
46398,51,463
34512,50,345
22959,50,229
16434,50,164
34326,50,343
16591,50,165
46479,50,464
46399,50,463
8845,50,88
47168,50,471
45829,50,458
29730,50,297
24943,50,249
17754,50,177
36142,50,361
31509,50,315
26177,50,261
8526,50,85
34008,50,340
24913,50,249
24740,50,247
21043,49,210
44718,49,447
22722,49,227
36089,49,360
43934,49,439
8268,49,82
46660,49,466
4139,49,41
17171,49,171
5171,49,51
28141,49,281
47430,49,474
8288,49,82
36082,49,360
44454,49,444
23078,49,230
26472,49,264
38347,49,383
17239,49,172
24765,49,247
36838,49,368
25683,49,256
4448,48,44
33580,48,335
28452,48,284
22771,48,227
13401,48,134
9287,48,92
43846,48,438
4775,48,47
28516,48,285
10302,48,103
35829,48,358
17850,48,178
33265,47,332
25391,47,253
17749,47,177
12642,47,126
17499,47,174
2186,47,21
18009,47,180
28022,47,280
35041,47,350
28376,47,283
18895,47,188
18024,47,180
18741,47,187
27731,47,277
19456,46,194
23324,46,233
10514,46,105
31730,46,317
18016,46,180
33956,46,339
36460,46,364
36863,46,368
4512,46,45
34668,46,346
26274,46,262
23215,46,232
27862,46,278
47043,46,470
26563,46,265
48423,46,484
27227,46,272
22577,46,225
12553,45,125
25677,45,256
27944,45,279
16755,45,167
38821,45,388
46353,45,463
26180,45,261
28548,45,285
18923,45,189
20292,45,202
19946,45,199
36172,45,361
45962,45,459
27466,45,274
28032,45,280
44125,45,441
27075,45,270
27945,45,279
4352,45,43
4924,45,49
4341,45,43
19376,45,193
46048,45,460
35570,45,355
25561,45,255
24949,45,249
31670,45,316
33758,45,337
25055,45,250
18328,45,183
33289,44,332
18111,44,181
10411,44,104
4178,44,41
18762,44,187
17712,44,177
5130,44,51
27382,44,273
34181,44,341
43898,44,438
33126,44,331
10376,44,103
35121,44,351
33735,44,337
22735,44,227
8552,44,85
19848,44,198
23173,44,231
34463,43,344
4955,43,49
27798,43,277
9321,43,93
17980,43,179
33657,43,336
19661,43,196
9077,43,90
45748,43,457
17745,43,177
25166,43,251
45883,43,458
33520,43,335
17816,43,178
27514,43,275
40776,43,407
26427,43,264
34503,43,345
36242,43,362
33330,43,333
49012,43,490
27948,43,279
17497,42,174
37294,42,372
34699,42,346
10413,42,104
34186,42,341
4450,42,44
26459,42,264
38928,42,389
26404,42,264
18642,42,186
20325,42,203
46477,42,464
34273,42,342
32960,42,329
45633,42,456
9050,41,90
47188,41,471
28237,41,282
17618,41,176
5241,41,52
35382,41,353
4241,41,42
36048,41,360
35310,41,353
21169,41,211
18878,41,188
31546,41,315
17793,41,177
27458,41,274
28379,41,283
27740,41,277
28019,41,280
20021,41,200
12336,41,123
20083,41,200
17192,41,171
27915,41,279
17105,41,171
18894,40,188
18005,40,180
46171,40,461
10345,40,103
17411,40,174
13314,40,133
46178,40,461
47053,40,470
19314,40,193
25334,40,253
35759,40,357
17641,40,176
44152,40,441
25965,40,259
17716,40,177
13362,40,133
17773,40,177
18081,40,180
25950,40,259
21439,40,214
4690,40,46
19887,40,198
49023,40,490
8673,40,86
35608,40,356
27387,40,273
39097,40,390
18746,39,187
26837,39,268
8921,39,89
2154,39,21
18209,39,182
18966,39,189
43715,39,437
4720,39,47
34745,39,347
35683,39,356
17921,39,179
33622,39,336
17300,39,173
25678,39,256
17691,39,176
17766,39,177
4897,39,48
33628,39,336
33275,39,332
2161,39,21
44255,39,442
26266,39,262
25302,39,253
23223,39,232
32,39,0
32379,39,323
19043,38,190
10761,38,107
26245,38,262
28350,38,283
36766,38,367
43956,38,439
27654,38,276
20191,38,201
28359,38,283
5051,38,50
25594,38,255
43501,38,435
39044,38,390
44429,38,444
19451,38,194
25938,38,259
16480,38,164
46108,38,461
18269,38,182
17623,38,176
27314,38,273
17704,38,177
43925,38,439
4719,38,47
27487,38,274
49053,38,490
4511,38,45
16543,37,165
16580,37,165
4255,37,42
28138,37,281
33711,37,337
33502,37,335
48715,37,487
47424,37,474
43841,37,438
19697,37,196
22955,37,229
27883,37,278
17849,37,178
33553,37,335
44713,37,447
16956,37,169
26975,37,269
48684,37,486
27825,37,278
37388,37,373
46079,37,460
26749,37,267
36006,37,360
43785,37,437
34324,37,343
33986,37,339
43263,37,432
42990,37,429
43836,37,438
18212,37,182
25336,37,253
23474,37,234
36617,37,366
33725,37,337
47217,37,472
40294,37,402
19458,36,194
18780,36,187
16868,36,168
22628,36,226
33764,36,337
33716,36,337
22690,36,226
23469,36,234
34121,36,341
35271,36,352
24912,36,249
34083,36,340
46510,36,465
10388,36,103
28488,36,284
26417,36,264
28489,36,284
46133,36,461
17119,36,171
22398,36,223
9363,36,93
8378,36,83
26955,36,269
45469,36,454
18003,36,180
18184,36,181
18176,36,181
26508,36,265
27343,36,273
12405,35,124
4410,35,44
46142,35,461
31407,35,314
19111,35,191
10321,35,103
27937,35,279
33627,35,336
26303,35,263
24582,35,245
45435,35,454
27344,35,273
36846,35,368
26809,35,268
5046,35,50
18060,35,180
8648,35,86
25768,35,257
17614,35,176
21971,35,219
18365,35,183
18019,35,180
23185,35,231
4447,35,44
34532,35,345
38946,34,389
16655,34,166
44791,34,447
5124,34,51
45914,34,459
46164,34,461
928,34,9
22772,34,227
24580,34,245
38852,34,388
19904,34,199
10442,34,104
22826,34,228
18865,34,188
5016,34,50
44094,34,440
16806,34,168
46340,34,463
27127,34,271
8225,34,82
19993,34,199
47397,34,473
40905,34,409
33470,34,334
8705,34,87
21873,34,218
18041,34,180
28517,34,285
36028,34,360
32693,34,326
34361,34,343
34035,34,340
48388,34,483
46130,33,461
8963,33,89
17667,33,176
25480,33,254
8229,33,82
28265,33,282
27261,33,272
40803,33,408
9135,33,91
34325,33,343
34360,33,343
35565,33,355
44947,33,449
21209,33,212
22622,33,226
34641,33,346
22828,33,228
26135,33,261
45305,33,453
46517,33,465
27646,33,276
19842,33,198
8557,33,85
27772,33,277
21215,33,212
47463,33,474
16641,33,166
27571,33,275
17429,33,174
9072,33,90
